"","address","latitude","longitude"
"263","Brauerstrasse 3, 8004  Zürich, Switzerland",47.3769262,8.5284802
"264","Brauerstrasse 3, 8004  Zürich, Switzerland",47.3769262,8.5284802
"265","Hohlstrasse 204, 8004  Zürich, Switzerland",47.3817952,8.5169649
"266","Martastrasse 102, 8004  Zürich, Switzerland",47.3769052,8.51558436325966
"267","Werdstrasse 106, 8004  Zürich, Switzerland",47.3711147,8.52525503559272
"268","Lagerstr. 87, 8004  Zürich, Switzerland",47.3778508,8.5327137
"269","Sihlfeldstrasse 83, 8004  Zürich, Switzerland",47.3759725,8.5162411
"270","Hohlstrasse 30, 8004  Zürich, Switzerland",47.3772881,8.5274662
"271","Dienerstrasse 20, 8004  Zürich, Switzerland",47.3777781,8.5284966
"272","Dienerstrasse 20, 8004  Zürich, Switzerland",47.3777781,8.5284966
"273","Dienerstrasse 20, 8004  Zürich, Switzerland",47.3777781,8.5284966
"274","Cramerstrasse 16, 8004  Zürich, Switzerland",47.3734668,8.5262689
"275","Kanzleistrasse 77, 8004  Zürich, Switzerland",47.37546705,8.52426242938961
"276","Badenerstrasse 47, 8004  Zürich, Switzerland",47.3731883,8.5284771
"277","Rolandstrasse 9, 8004  Zürich, Switzerland",47.3789404,8.5267275
"278","Sihlhallenstrasse 11, 8004  Zürich, Switzerland",47.3797785,8.5267227
"279","Hohlstr. 357, 8004  Zürich, Switzerland",47.3847187,8.50884694969789
"280","Dienerstrasse 20, 8004  Zürich, Switzerland",47.3777781,8.5284966
"281","Schöntalstrasse 27, 8004  Zürich, Switzerland",47.370906,8.5261543
"282","Badenerstrasse 250, 8004  Zürich, Switzerland",47.3759902,8.51601743298077
"283","Pflanzschulstrasse 23, 8004  Zürich, Switzerland",47.3762491,8.5191366
"284","Werdstrasse 104, 8004  Zürich, Switzerland",47.3712413,8.52538968556625
"285","Dienerstrasse 6, 8004  Zürich, Switzerland",47.3776,8.5290717
"286","Badenerstrasse 414, 8004  Zürich, Switzerland",47.3744787,8.5217477
"287","Badenerstrasse 250, 8004  Zürich, Switzerland",47.3759902,8.51601743298077
"288","Badenerstrasse 18, 8004  Zürich, Switzerland",47.3739556,8.5303831
"289","8004  Zürich, Switzerland",47.3770500505787,8.52236616271608
"290","Militärstrasse 16, 8004  Zürich, Switzerland",47.3765461,8.5331122
"291","Badenerstrasse 18, 8004  Zürich, Switzerland",47.3739556,8.5303831
"292","Magnusstrasse 4, 8004  Zürich, Switzerland",47.3793724,8.5245777
"293","Hohlstrasse 100, 8004  Zürich, Switzerland",47.3793872,8.52295811559348
"294","Köchlistrasse 18, 8004  Zürich, Switzerland",47.3735839,8.52331795375796
"295","Schöneggstrasse 15, 8004  Zürich, Switzerland",47.3800222,8.5267451
"296","Badenerstrasse 18, 8004  Zürich, Switzerland",47.3739556,8.5303831
"297","Eichbühlstrasse 64, 8004  Zürich, Switzerland",47.3841054,8.50818281932991
"298","Stauffacherstrasse 27, 8004  Zürich, Switzerland",47.3730307,8.5289642
"299","Badenerstrasse, 8004  Zürich, Switzerland",47.3744787,8.5217477
"300","St.Jakobstrasse 61, 8004  Zürich, Switzerland",47.3755349,8.5304207
"301","Pflanzschulstrasse 99, 8004  Zürich, Switzerland",47.3789669,8.5220336
"302","Zweierstrasse 18, 8004  Zürich, Switzerland",47.37306415,8.5265895076325
"303","Badenerstrasse 250, 8004  Zürich, Switzerland",47.3759902,8.51601743298077
"304","Kochstrasse 19, 8004  Zürich, Switzerland",47.3780379,8.5149578925446
"305","Kanzleistrasse 18, 8004  Zürich, Switzerland",47.3738206,8.5278365
"306","Stauffacherstrasse 37, 8004  Zürich, Switzerland",47.3739127,8.5283678
"307","Badenerstrasse 250, 8004  Zürich, Switzerland",47.3759902,8.51601743298077
"308","Gustav-Gull-Platz 11, 8004  Zürich, Switzerland",47.3793807,8.5317881
"309","Gustav-Gull-Platz 11, 8004  Zürich, Switzerland",47.3793807,8.5317881
"310","Sihlfeldstrasse 83, 8004  Zürich, Switzerland",47.3759725,8.5162411
"311","Heinrichstrasse, 8005  Zürich, Switzerland",47.3873638,8.5256891
"312","Ausstellungsstr. 112, 8005  Zürich, Switzerland",47.3845931,8.53253090324687
"313","Zollstrasse 16, 8005  Zürich, Switzerland",47.38008515,8.53618279474369
"314","Limmatstrasse 73, 8005  Zürich, Switzerland",47.3824792,8.53418672542273
"315","Ackerstrasse 54, 8005  Zürich, Switzerland",47.3831489,8.53311006368334
"316","Neugasse 50, 8005  Zürich, Switzerland",47.3827698,8.52973246324635
"317","Motorenstrasse 18, 8005  Zürich, Switzerland",47.3843831,8.5284636
"318","strasse 120A, 8005  Zürich, Switzerland",47.5256562,8.4523115
"319","Limmatstrasse 27, 8005  Zürich, Switzerland",47.38097975,8.5362308742354
"320","Zollstrasse 57, 8005  Zürich, Switzerland",47.38054605,8.5332265415
"321","Förrlibuckstrasse 227, 8005  Zürich, Switzerland",47.39227405,8.50705436357854
"322","Heinrichstrasse 235, 8005  Zürich, Switzerland",47.3884806,8.5231891
"323","Zollstrasse 57, 8005  Zürich, Switzerland",47.38054605,8.5332265415
"324","Josefstrasse 17, 8005  Zürich, Switzerland",47.3807929,8.5339463
"325","Giessereistrasse 12, 8005  Zürich, Switzerland",47.3901895,8.518144
"326","Turbinenstrasse 18, 8005  Zürich, Switzerland",47.3882483,8.5144863
"327","Pfingstweidstrasse 98, 8005  Zürich, Switzerland",47.3904653,8.5102824
"328","Turbinenstrasse 18, 8005  Zürich, Switzerland",47.3882483,8.5144863
"329","Hardstrasse 324, 8005  Zürich, Switzerland",47.390361,8.5227713
"330","Stampfenbachstrasse 157, 8006  Zürich, Switzerland",47.38755585,8.53936853460744
"331","Götzstrasse 15, 8006  Zürich, Switzerland",47.38999615,8.54484730997375
"332","Bolleystrasse 17, 8006  Zürich, Switzerland",47.38123495,8.5492574
"333","Culmannstr. 45, 8006  Zürich, Switzerland",47.3821725,8.5474623
"334","Hadlaubstrasse 79, 8006  Zürich, Switzerland",47.38694685,8.55115726899827
